Neighb ID,Neighbourhood Name,Total Population ^,   VISIBLE MINORITY POPULATIONS (Numerators),,,,,,,,,,,,,,,,,,,,,NOT VISIBLE MINORITY POPULATION,   VISIBLE MINORITY POPULATIONS (%),,,,,,,,,,,,,NOT VISIBLE MINORITY POPULATION
,,,All Visible Minorities,South Asian,Chinese ,"Chinese 
Report with 
caution (*)",Black ,Filipino ,Arab#,Arab Report with caution (*),Latin American#,"Latin American
Report with 
caution (*)",Southeast Asian,"Southeast Asian
Report with 
caution (*)",West Asian,"West Asian
Report with 
caution (*)",Korean ,Korean Report with caution (*),Japanese ,Japanese Report with caution (*),Visible Minority Not Included Elsewhere,"Visible Minority Not Included Elsewhere
Report with caution (*)",Multiple Visible Minorities,Population - Both,All Visible Minorities,South Asian,Chinese ,Black ,Filipino ,Arab#,Latin American#,Southeast Asian,West Asian,Korean ,Japanese ,Visible Minority Not Included Elsewhere,Multiple Visible Minorities,Population - Both (%)
164,Wellington Place,25575,12970,3215,3980,,1040,475,685,,735,,540,,645,,540,,200,,230,,685,12595,50.7,12.6,15.6,4.1,1.9,2.7,2.9,2.1,2.5,2.1,0.8,0.9,2.7,49.2
165,Harbourfront-CityPlace,28135,17365,5540,4365,,1780,630,835,,1195,,560,,655,,530,,150,,290,,760,10760,61.7,19.7,15.5,6.3,2.2,3.0,4.2,2.0,2.3,1.9,0.5,1.0,2.7,38.2
166,St Lawrence-East Bayfront-The Islands,31275,16185,4140,3790,,2830,775,725,,945,,390,,610,,540,,195,,310,,835,15120,51.8,13.2,12.1,9.0,2.5,2.3,3.0,1.2,2.0,1.7,0.6,1.0,2.7,48.3
167,Church-Wellesley,22315,12080,2645,3755,,915,510,455,,890,,490,,675,,790,,210,,150,,395,10240,54.1,11.9,16.8,4.1,2.3,2.0,4.0,2.2,3.0,3.5,0.9,0.7,1.8,45.9
168,Downtown Yonge East,17705,10275,2420,2815,,1435,455,535,,560,,280,,335,,540,,150,,150,,510,7425,58.0,13.7,15.9,8.1,2.6,3.0,3.2,1.6,1.9,3.1,0.8,0.8,2.9,41.9
169,Bay-Cloverhill,16650,10765,1635,5310,,590,320,470,,300,,285,,520,,690,,130,,70,,305,5885,64.7,9.8,31.9,3.5,1.9,2.8,1.8,1.7,3.1,4.1,0.8,0.4,1.8,35.3
170,Yonge-Bay Corridor,12645,9050,1870,3475,,570,205,710,,360,,285,,270,,635,,145,,130,,350,3595,71.6,14.8,27.5,4.5,1.6,5.6,2.8,2.3,2.1,5.0,1.1,1.0,2.8,28.4
171,Junction-Wallace Emerson,23155,8790,1515,1425,,1725,470,145,,1055,,580,,45,,160,,65,,180,,595,14395,38.0,6.5,6.2,7.4,2.0,0.6,4.6,2.5,0.2,0.7,0.3,0.8,2.6,62.2
172,Dovercourt Village,12355,3895,585,1020,,500,145,15,*,415,,205,,10,*,125,,0,,85,,210,8490,31.5,4.7,8.3,4.0,1.2,0.1,3.4,1.7,0.1,1.0,0.0,0.7,1.7,68.7
173,North Toronto,15885,8160,1565,1050,,1025,780,220,,1050,,245,,1005,,595,,115,,155,,365,7720,51.4,9.9,6.6,6.5,4.9,1.4,6.6,1.5,6.3,3.7,0.7,1.0,2.3,48.6
174,South Eglinton-Davisville,22740,10440,2895,1435,,1135,515,370,,1075,,140,,975,,860,,195,,200,,470,12290,45.9,12.7,6.3,5.0,2.3,1.6,4.7,0.6,4.3,3.8,0.9,0.9,2.1,54.0
,City of Toronto,2761285,1537285,385440,296225,,265005,170355,42040,,92455,,53905,,69320,,42190,,13210,,42435,,64700,1224000,55.7,14.0,10.7,9.6,6.2,1.5,3.3,2.0,2.5,1.5,0.5,1.5,2.3,44.3
